staircase.thisTrialN,staircase.stepSize,staircase.intensity,fixation.started,fixation.stopped,grating.started,key_resp.started,grating.stopped,corrAns,tilt,key_resp.corr,staircase.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,2,10.0,145.243918400025,145.8508268999867,145.8508268999867,145.8508268999867,146.15045469999313,left,-10.0,0,0,3.223468500073068,298395,001,2023-09-01_11h42.33.822,staircase exp lab report,2023.1.3,59.97814399341266,
1,1,12.0,149.10038209997583,149.58416490000673,149.58416490000673,149.58416490000673,149.88403089996427,right,12.0,1,1,18.86864500003867,298395,001,2023-09-01_11h42.33.822,staircase exp lab report,2023.1.3,59.97814399341266,
2,1,11.0,168.48394459998235,168.98412409995217,168.98412409995217,168.98412409995217,169.28412900003605,right,11.0,1,1,18.317528299987316,298395,001,2023-09-01_11h42.33.822,staircase exp lab report,2023.1.3,59.97814399341266,
3,1,11.0,187.31752339995,187.81775429996196,187.81775429996196,187.81775429996196,188.1173901000293,right,11.0,1,1,41.515554199926555,298395,001,2023-09-01_11h42.33.822,staircase exp lab report,2023.1.3,59.97814399341266,
4,1,11.0,229.3509192999918,229.85044900001958,229.85044900001958,229.85044900001958,230.15034970000852,left,-11.0,1,1,4.992071800050326,298395,001,2023-09-01_11h42.33.822,staircase exp lab report,2023.1.3,59.97814399341266,
5,1,10.0,234.8677404000191,235.36703470000066,235.36703470000066,235.36703470000066,235.66695199999958,left,-10.0,1,1,0.6484615999506786,298395,001,2023-09-01_11h42.33.822,staircase exp lab report,2023.1.3,59.97814399341266,
6,1,10.0,236.03344559995458,236.53361149993725,236.53361149993725,236.53361149993725,236.83376439998392,right,10.0,1,1,1.1272804000182077,298395,001,2023-09-01_11h42.33.822,staircase exp lab report,2023.1.3,59.97814399341266,
7,1,10.0,237.68351390003227,238.18541979999281,238.18541979999281,238.18541979999281,238.50022060004994,right,10.0,1,1,0.6779044999275357,298395,001,2023-09-01_11h42.33.822,staircase exp lab report,2023.1.3,59.97814399341266,
8,1,9.0,238.8847060999833,239.38373190001585,239.38373190001585,239.38373190001585,239.68347799999174,right,9.0,1,1,3.8539816000266,298395,001,2023-09-01_11h42.33.822,staircase exp lab report,2023.1.3,59.97814399341266,
9,1,9.0,243.26720749994274,243.76742579997517,243.76742579997517,243.76742579997517,244.06683459994383,left,-9.0,1,1,37.749554999987595,298395,001,2023-09-01_11h42.33.822,staircase exp lab report,2023.1.3,59.97814399341266,
10,1,9.0,281.5333010000177,282.03372039995156,282.03372039995156,282.03372039995156,282.33433740003966,right,9.0,1,1,11.891062299953774,298395,001,2023-09-01_11h42.33.822,staircase exp lab report,2023.1.3,59.97814399341266,
11,1,8.0,293.9500147999497,294.4502197999973,294.4502197999973,294.4502197999973,294.7497907000361,left,-8.0,1,1,15.704596900031902,298395,001,2023-09-01_11h42.33.822,staircase exp lab report,2023.1.3,59.97814399341266,
12,1,8.0,310.18488570000045,310.68295609997585,310.68295609997585,310.68295609997585,310.9831764999544,left,-8.0,1,1,13.344993600039743,298395,001,2023-09-01_11h42.33.822,staircase exp lab report,2023.1.3,59.97814399341266,
13,1,8.0,324.05084189993795,324.5495317999739,324.5495317999739,324.5495317999739,324.84935090004,right,8.0,1,1,0.8579639999661595,298395,001,2023-09-01_11h42.33.822,staircase exp lab report,2023.1.3,59.97814399341266,
14,1,7.0,325.4330836000154,325.9331073999638,325.9331073999638,325.9331073999638,326.23310790001415,right,7.0,0,0,7.230684699956328,298395,001,2023-09-01_11h42.33.822,staircase exp lab report,2023.1.3,59.97814399341266,
15,1,8.0,333.1832723999396,333.68307979998644,333.68307979998644,333.68307979998644,333.9829027999658,right,8.0,0,0,0.6253948999801651,298395,001,2023-09-01_11h42.33.822,staircase exp lab report,2023.1.3,59.97814399341266,
16,1,9.0,334.3330133999698,334.8331028999528,334.8331028999528,334.8331028999528,335.1330564999953,right,9.0,1,1,16.507051600026898,298395,001,2023-09-01_11h42.33.822,staircase exp lab report,2023.1.3,59.97814399341266,
17,1,9.0,351.3667079999577,351.86649839999154,351.86649839999154,351.86649839999154,352.16629149997607,right,9.0,1,1,4.7551679000025615,298395,001,2023-09-01_11h42.33.822,staircase exp lab report,2023.1.3,59.97814399341266,
18,0.5,9.0,356.64950800000224,357.1498758000089,357.1498758000089,357.1498758000089,357.4495147999842,right,9.0,1,1,0.7251224999781698,298395,001,2023-09-01_11h42.33.822,staircase exp lab report,2023.1.3,59.97814399341266,
19,0.5,8.5,357.8991171999369,358.3827153999591,358.3827153999591,358.3827153999591,358.68238490005024,right,8.5,1,1,2.2472008999902755,298395,001,2023-09-01_11h42.33.822,staircase exp lab report,2023.1.3,59.97814399341266,
20,0.5,8.5,360.64893879997544,361.1331446999684,361.1331446999684,361.1331446999684,361.43279780005105,left,-8.5,1,1,0.6132062999531627,298395,001,2023-09-01_11h42.33.822,staircase exp lab report,2023.1.3,59.97814399341266,
21,0.5,8.5,361.7661069999449,362.26609189994633,362.26609189994633,362.26609189994633,362.5657847999828,right,8.5,1,1,0.7159710000269115,298395,001,2023-09-01_11h42.33.822,staircase exp lab report,2023.1.3,59.97814399341266,
