123.4971 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001EFBC6C62B0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001EFBC6C6250>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001EFBC6BEFD0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001EFBD651730>, multiSample=False, name='window1', numSamples=2, pos=(460, 240), screen=0, size=array([1000,  600]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
123.4974 	EXP 	window1: mouseVisible = True
123.4975 	EXP 	window1: backgroundImage = ''
123.4975 	EXP 	window1: backgroundFit = 'none'
123.4977 	EXP 	window1: mouseVisible = True
123.4977 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
123.4978 	EXP 	window1: recordFrameIntervals = False
123.6698 	EXP 	window1: recordFrameIntervals = True
123.8534 	EXP 	Screen (0) actual frame rate measured at 59.98Hz
123.8535 	EXP 	window1: recordFrameIntervals = False
125.0247 	WARNING 	launchHubServer: If using the iohub mouse or eyetracker devices, fullScr should be True.
144.8981 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.1, 0.1]), units='pix', vertices=ndarray(...), win=Window(...), windingRule=None)
