trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,Fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,10,94.9175755000033,94.9175755000033,0.2835015000018757,[0.425],[0.22037037037037038],[1],[0],[0],[6.8463544999976875],['target'],704535,001,2023-09-15_11h55.06.384,VISUAL SEARCH ,2023.1.3,60.38931785202459,
1,0,1,0,10,101.51968110000598,101.51968110000598,0.07813380000152392,[-0.26666666666666666],[-0.475],[1],[0],[0],[3.620003700001689],['target'],704535,001,2023-09-15_11h55.06.384,VISUAL SEARCH ,2023.1.3,60.38931785202459,
2,0,2,0,5,105.16003199999977,105.16003199999977,0.022927899997739587,[0.2537037037037037],[-0.10462962962962963],[1],[0],[0],[1.857783700004802],['target'],704535,001,2023-09-15_11h55.06.384,VISUAL SEARCH ,2023.1.3,60.38931785202459,
3,0,3,0,10,107.07477530000324,107.07477530000324,0.0451623999979347,[-0.4009259259259259],[-0.3509259259259259],[1],[0],[0],[1.8982412999976077],['target'],704535,001,2023-09-15_11h55.06.384,VISUAL SEARCH ,2023.1.3,60.38931785202459,
4,0,4,0,10,109.02172000000428,109.02172000000428,0.0438097000005655,[-0.1037037037037037],[-0.3138888888888889],[1],[0],[0],[2.402129400004924],['target'],704535,001,2023-09-15_11h55.06.384,VISUAL SEARCH ,2023.1.3,60.38931785202459,
5,0,5,0,5,111.44411129999935,111.44411129999935,0.023216699999466073,[0.23703703703703705],[0.05185185185185185],[1],[0],[0],[1.739410800000769],['target'],704535,001,2023-09-15_11h55.06.384,VISUAL SEARCH ,2023.1.3,60.38931785202459,
6,0,6,0,10,113.24826780000149,113.24826780000149,0.052327400000649504,[-0.14537037037037037],[0.49166666666666664],[1],[0],[0],[2.674486399999296],['target'],704535,001,2023-09-15_11h55.06.384,VISUAL SEARCH ,2023.1.3,60.38931785202459,
7,0,7,0,10,115.96971540000231,115.96971540000231,0.04312420000496786,[0.35555555555555557],[-0.11666666666666667],[1],[0],[0],[1.8263138999973307],['target'],704535,001,2023-09-15_11h55.06.384,VISUAL SEARCH ,2023.1.3,60.38931785202459,
8,0,8,0,5,117.81613030000153,117.81613030000153,0.023159800002758857,[0.3712962962962963],[-0.4675925925925926],[1],[0],[0],[1.3993004000003566],['target'],704535,001,2023-09-15_11h55.06.384,VISUAL SEARCH ,2023.1.3,60.38931785202459,
9,0,9,0,5,119.24970300000132,119.24970300000132,0.027829300001030788,[0.4027777777777778],[0.07962962962962963],[1],[0],[0],[1.3677644000053988],['target'],704535,001,2023-09-15_11h55.06.384,VISUAL SEARCH ,2023.1.3,60.38931785202459,
10,0,10,0,10,120.67026140000235,120.67026140000235,0.04232869999395916,[0.30833333333333335],[0.1962962962962963],[1],[0],[0],[6.48638629999914],['target'],704535,001,2023-09-15_11h55.06.384,VISUAL SEARCH ,2023.1.3,60.38931785202459,
11,0,11,0,5,127.17684400000144,127.17684400000144,0.02336759999889182,[-0.47685185185185186],[0.35833333333333334],[1],[0],[0],[2.206099600000016],['target'],704535,001,2023-09-15_11h55.06.384,VISUAL SEARCH ,2023.1.3,60.38931785202459,
12,0,12,0,10,129.43770720000612,129.43770720000612,0.04372610000427812,[-0.2759259259259259],[0.4759259259259259],[1],[0],[0],[1.0846315000017057],['target'],704535,001,2023-09-15_11h55.06.384,VISUAL SEARCH ,2023.1.3,60.38931785202459,
13,0,13,0,5,130.54254600000422,130.54254600000422,0.022384899995813612,[-0.3648148148148148],[0.3277777777777778],[1],[0],[0],[1.7070022000043537],['target'],704535,001,2023-09-15_11h55.06.384,VISUAL SEARCH ,2023.1.3,60.38931785202459,
14,0,14,0,5,132.28441190000012,132.28441190000012,0.028364900004817173,[0.475],[-0.4185185185185185],[1],[0],[0],[1.7152994999996736],['target'],704535,001,2023-09-15_11h55.06.384,VISUAL SEARCH ,2023.1.3,60.38931785202459,
15,0,15,0,5,134.02937060000113,134.02937060000113,0.0252256000021589,[-0.023148148148148147],[0.31666666666666665],[1],[0],[0],[1.2868573999949149],['target'],704535,001,2023-09-15_11h55.06.384,VISUAL SEARCH ,2023.1.3,60.38931785202459,
16,0,16,0,5,135.34817699999985,135.34817699999985,0.02520859999640379,[0.33611111111111114],[0.175],[1],[0],[0],[1.5545749999946565],['target'],704535,001,2023-09-15_11h55.06.384,VISUAL SEARCH ,2023.1.3,60.38931785202459,
17,0,17,0,5,136.9314144000018,136.9314144000018,0.02418000000034226,[0.09814814814814815],[0.23796296296296296],[1],[0],[0],[3.6004452999986825],['target'],704535,001,2023-09-15_11h55.06.384,VISUAL SEARCH ,2023.1.3,60.38931785202459,
18,0,18,0,5,140.56770010000037,140.56770010000037,0.028002200000628363,[-0.39537037037037037],[0.058333333333333334],[1],[0],[0],[1.8820042000006652],['target'],704535,001,2023-09-15_11h55.06.384,VISUAL SEARCH ,2023.1.3,60.38931785202459,
19,0,19,0,5,142.48393370000122,142.48393370000122,0.028865300002507865,[-0.24351851851851852],[-0.18703703703703703],[1],[0],[0],[1.6992434999992838],['target'],704535,001,2023-09-15_11h55.06.384,VISUAL SEARCH ,2023.1.3,60.38931785202459,
20,0,20,0,10,144.33481170000596,144.33481170000596,0.138212999998359,[0.05092592592592592],[0.5],[1],[0],[0],[4.005403200004366],['target'],704535,001,2023-09-15_11h55.06.384,VISUAL SEARCH ,2023.1.3,60.38931785202459,
21,0,21,0,10,148.38992790000339,148.38992790000339,0.04363010000088252,[-0.17314814814814813],[0.43796296296296294],[1],[0],[0],[1.369106300000567],['target'],704535,001,2023-09-15_11h55.06.384,VISUAL SEARCH ,2023.1.3,60.38931785202459,
22,0,22,0,10,149.80391330000566,149.80391330000566,0.04315369999676477,[-0.33240740740740743],[-0.1638888888888889],[1],[0],[0],[1.5054576999973506],['target'],704535,001,2023-09-15_11h55.06.384,VISUAL SEARCH ,2023.1.3,60.38931785202459,
23,0,23,0,5,151.33225980000134,151.33225980000134,0.024612200002593454,[0.2972222222222222],[0.09259259259259259],[1],[0],[0],[3.8336834000001545],['target'],704535,001,2023-09-15_11h55.06.384,VISUAL SEARCH ,2023.1.3,60.38931785202459,
24,0,24,0,10,155.23468169999978,155.23468169999978,0.049037199998565484,[-0.0824074074074074],[-0.2657407407407407],[1],[0],[0],[1.673138599995582],['target'],704535,001,2023-09-15_11h55.06.384,VISUAL SEARCH ,2023.1.3,60.38931785202459,
25,0,25,0,10,156.96114800000214,156.96114800000214,0.04531120000319788,[-0.3425925925925926],[0.04351851851851852],[1],[0],[0],[1.3486935999972047],['target'],704535,001,2023-09-15_11h55.06.384,VISUAL SEARCH ,2023.1.3,60.38931785202459,
26,0,26,0,10,158.357560000004,158.357560000004,0.04380779999337392,[-0.3277777777777778],[-0.15092592592592594],[1],[0],[0],[1.6022550000052433],['target'],704535,001,2023-09-15_11h55.06.384,VISUAL SEARCH ,2023.1.3,60.38931785202459,
27,0,27,0,5,159.9795321000056,159.9795321000056,0.022595299997192342,[-0.425],[-0.3787037037037037],[1],[0],[0],[1.2691889999987325],['target'],704535,001,2023-09-15_11h55.06.384,VISUAL SEARCH ,2023.1.3,60.38931785202459,
28,0,28,0,5,161.27988910000568,161.27988910000568,0.024721100002352614,[-0.13055555555555556],[0.36666666666666664],[1],[0],[0],[1.1849858999994467],['target'],704535,001,2023-09-15_11h55.06.384,VISUAL SEARCH ,2023.1.3,60.38931785202459,
29,0,29,0,5,162.4909394999995,162.4909394999995,0.021967500004393514,[0.16944444444444445],[-0.30277777777777776],[1],[0],[0],[1.6911906999957864],['target'],704535,001,2023-09-15_11h55.06.384,VISUAL SEARCH ,2023.1.3,60.38931785202459,
30,0,30,0,5,164.2150238000031,164.2150238000031,0.026503300003241748,[-0.20185185185185187],[-0.32037037037037036],[1],[0],[0],[1.6842264000006253],['target'],704535,001,2023-09-15_11h55.06.384,VISUAL SEARCH ,2023.1.3,60.38931785202459,
31,0,31,0,10,165.98489960000006,165.98489960000006,0.06860829999641282,[0.30185185185185187],[0.2518518518518518],[1],[0],[0],[1.7041830999951344],[],704535,001,2023-09-15_11h55.06.384,VISUAL SEARCH ,2023.1.3,60.38931785202459,
32,0,32,0,10,167.75150120000035,167.75150120000035,0.057560699999157805,[-0.15],[0.45555555555555555],[1],[0],[0],[1.3557421999939834],['target'],704535,001,2023-09-15_11h55.06.384,VISUAL SEARCH ,2023.1.3,60.38931785202459,
