study_word,test,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,slider.started,slider.response,slider.rt,text_2.started,textbox.started,text_3.started,mouse.started,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
piano,,0,0,0,4,,,,,25.00356759992428,25.00356759992428,3.6,3.4160855000372976,,,,,,,,,,,,,886671,001,2023-09-29_11h23.36.718,untitled2,2023.1.3,59.83713528498979,
vase,,0,1,1,0,,,,,28.24088820000179,28.24088820000179,1.7962962962962963,1.8789139001164585,,,,,,,,,,,,,886671,001,2023-09-29_11h23.36.718,untitled2,2023.1.3,59.83713528498979,
tiger,,0,2,2,1,,,,,30.143736799946055,30.143736799946055,1.8111111111111111,0.5025122999213636,,,,,,,,,,,,,886671,001,2023-09-29_11h23.36.718,untitled2,2023.1.3,59.83713528498979,
cushion,,0,3,3,3,,,,,30.67501169978641,30.67501169978641,1.8111111111111111,0.34122780011966825,,,,,,,,,,,,,886671,001,2023-09-29_11h23.36.718,untitled2,2023.1.3,59.83713528498979,
book,,0,4,4,2,,,,,31.040194999892265,31.040194999892265,1.8185185185185184,0.42591809993609786,,,,,,,,,,,,,886671,001,2023-09-29_11h23.36.718,untitled2,2023.1.3,59.83713528498979,
,_oo_,,,,,0,0,0,2,,,,,31.497975799953565,31.497975799953565,31.497975799953565,0.01348969992250204,book,[-0.08518518518518518],[-0.3314814814814815],[1],[0],[0],[5.3308453999925405],[],886671,001,2023-09-29_11h23.36.718,untitled2,2023.1.3,59.83713528498979,
,a_e_,,,,,0,1,1,9,,,,,36.83336229994893,36.83336229994893,36.83336229994893,0.005079200025647879,,[],[],[],[],[],[],[],886671,001,2023-09-29_11h23.36.718,untitled2,2023.1.3,59.83713528498979,
,f_th_r,,,,,0,2,2,7,,,,,46.84910739981569,46.84910739981569,46.84910739981569,0.02355909999459982,father,[-0.053703703703703705],[-0.33425925925925926],[1],[0],[0],[3.8398290001787245],[],886671,001,2023-09-29_11h23.36.718,untitled2,2023.1.3,59.83713528498979,
,b_o_o_y,,,,,0,3,3,11,,,,,50.70258729998022,50.70258729998022,50.70258729998022,0.011625999817624688,"biology
",[-0.07777777777777778],[-0.3296296296296296],[1],[0],[0],[6.8861373998224735],[],886671,001,2023-09-29_11h23.36.718,untitled2,2023.1.3,59.83713528498979,
,c_s_i_n,,,,,0,4,4,3,,,,,57.599788499996066,57.599788499996066,57.599788499996066,0.005935100140050054,cushion,[-0.07777777777777778],[-0.3296296296296296],[1],[0],[0],[5.3752006001304835],[],886671,001,2023-09-29_11h23.36.718,untitled2,2023.1.3,59.83713528498979,
,t_g_r,,,,,0,5,5,1,,,,,63.00581949995831,63.00581949995831,63.00581949995831,0.02448810008354485,tiger,[-0.07222222222222222],[-0.3296296296296296],[1],[0],[0],[3.123848600080237],[],886671,001,2023-09-29_11h23.36.718,untitled2,2023.1.3,59.83713528498979,
,l_v_,,,,,0,6,6,5,,,,,66.1281918999739,66.1281918999739,66.1281918999739,0.003743499983102083,love,[-0.06851851851851852],[-0.3296296296296296],[1],[0],[0],[2.4114048997871578],[],886671,001,2023-09-29_11h23.36.718,untitled2,2023.1.3,59.83713528498979,
,c_t_,,,,,0,7,7,12,,,,,68.54695939994417,68.54695939994417,68.54695939994417,0.004938500002026558,cute,[-0.04351851851851852],[-0.337037037037037],[1],[0],[0],[2.6428320999257267],[],886671,001,2023-09-29_11h23.36.718,untitled2,2023.1.3,59.83713528498979,
,y_u,,,,,0,8,8,8,,,,,71.20079289982095,71.20079289982095,71.20079289982095,0.00615020003169775,you,[0.003703703703703704],[-0.35555555555555557],[1],[0],[0],[2.3093226000200957],[],886671,001,2023-09-29_11h23.36.718,untitled2,2023.1.3,59.83713528498979,
,p_a_o,,,,,0,9,9,4,,,,,73.51461729989387,73.51461729989387,73.51461729989387,0.004814899992197752,piano,[0.0],[-0.31666666666666665],[1],[0],[0],[3.9917401999700814],['text_3'],886671,001,2023-09-29_11h23.36.718,untitled2,2023.1.3,59.83713528498979,
,m_th_ma_i_s,,,,,0,10,10,10,,,,,77.51462319982238,77.51462319982238,77.51462319982238,0.005377199966460466,mathematics,[-0.003703703703703704],[-0.3212962962962963],[1],[0],[0],[3.642120699863881],['text_3'],886671,001,2023-09-29_11h23.36.718,untitled2,2023.1.3,59.83713528498979,
,m_t_e_,,,,,0,11,11,6,,,,,81.16187700000592,81.16187700000592,81.16187700000592,0.004519700072705746,mother,[],[],[],[],[],[],[],886671,001,2023-09-29_11h23.36.718,untitled2,2023.1.3,59.83713528498979,
,_a_e,,,,,0,12,12,0,,,,,91.18120339978486,91.18120339978486,91.18120339978486,0.020484100095927715,,[-0.003703703703703704],[-0.33240740740740743],[1],[0],[0],[0.060873799957334995],[],886671,001,2023-09-29_11h23.36.718,untitled2,2023.1.3,59.83713528498979,
