7.6741 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
9.8059 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000157F1CFED00>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000157F1CFECA0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000157F1CFEAC0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x00000157F20B37C0>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
9.8060 	EXP 	window1: mouseVisible = True
9.8061 	EXP 	window1: backgroundImage = ''
9.8061 	EXP 	window1: backgroundFit = 'none'
9.8104 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
9.8105 	EXP 	window1: recordFrameIntervals = False
9.9715 	EXP 	window1: recordFrameIntervals = True
10.1556 	EXP 	Screen (0) actual frame rate measured at 59.85Hz
10.1557 	EXP 	window1: recordFrameIntervals = False
10.1559 	EXP 	window1: mouseVisible = False
13.1275 	EXP 	untitled2: status = STARTED
13.1282 	EXP 	window1: mouseVisible = True
13.1342 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, draggable=False, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.05, 0.05]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
13.1347 	EXP 	window1: mouseVisible = True
13.1575 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
0.0205 	EXP 	Imported C:/Dhrumna/Ahmedabad University/Fourth year/PSY/DELAY DISCOUNTING TASK/Book1.xlsx as conditions, 7 conditions, 3 params
0.0223 	EXP 	Created sequence: random, trialTypes=7, nReps=5, seed=None
0.0229 	EXP 	New trial (rep=0, index=0): {'reward_today': 15, 'future_reward': 35, 'delay': 13}
0.1182 	EXP 	text: height = 0.05
0.1182 	EXP 	text: height = 0.05
0.1182 	EXP 	text: height = 0.05
0.1182 	EXP 	text: text = 'GBP 15 today or GBP 35 after 13 days'
0.1182 	EXP 	fixation: autoDraw = True
1.0136 	EXP 	text: autoDraw = True
1.1305 	EXP 	fixation: autoDraw = False
8.2682 	EXP 	New trial (rep=0, index=1): {'reward_today': 40, 'future_reward': 55, 'delay': 62}
8.2924 	EXP 	fixation: autoDraw = False
8.2924 	EXP 	text: autoDraw = False
8.2924 	EXP 	text: height = 0.05
8.2924 	EXP 	text: height = 0.05
8.2924 	EXP 	text: height = 0.05
8.2924 	EXP 	text: text = 'GBP 40 today or GBP 55 after 62 days'
8.2924 	EXP 	fixation: autoDraw = True
9.2805 	EXP 	text: autoDraw = True
9.2970 	EXP 	fixation: autoDraw = False
12.3878 	EXP 	New trial (rep=0, index=2): {'reward_today': 67, 'future_reward': 75, 'delay': 119}
12.4076 	EXP 	fixation: autoDraw = False
12.4076 	EXP 	text: autoDraw = False
12.4076 	EXP 	text: height = 0.05
12.4076 	EXP 	text: height = 0.05
12.4076 	EXP 	text: height = 0.05
12.4076 	EXP 	text: text = 'GBP 67 today or GBP 75 after 119 days'
12.4076 	EXP 	fixation: autoDraw = True
13.3972 	EXP 	text: autoDraw = True
13.4138 	EXP 	fixation: autoDraw = False
16.3003 	EXP 	New trial (rep=0, index=3): {'reward_today': 11, 'future_reward': 30, 'delay': 7}
16.3153 	EXP 	fixation: autoDraw = False
16.3153 	EXP 	text: autoDraw = False
16.3153 	EXP 	text: height = 0.05
16.3153 	EXP 	text: height = 0.05
16.3153 	EXP 	text: height = 0.05
16.3153 	EXP 	text: text = 'GBP 11 today or GBP 30 after 7 days'
16.3153 	EXP 	fixation: autoDraw = True
17.3136 	EXP 	text: autoDraw = True
17.3303 	EXP 	fixation: autoDraw = False
22.0839 	EXP 	New trial (rep=0, index=4): {'reward_today': 78, 'future_reward': 80, 'delay': 162}
22.1019 	EXP 	fixation: autoDraw = False
22.1019 	EXP 	text: autoDraw = False
22.1019 	EXP 	text: height = 0.05
22.1019 	EXP 	text: height = 0.05
22.1019 	EXP 	text: height = 0.05
22.1019 	EXP 	text: text = 'GBP 78 today or GBP 80 after 162 days'
22.1019 	EXP 	fixation: autoDraw = True
23.0970 	EXP 	text: autoDraw = True
23.1136 	EXP 	fixation: autoDraw = False
27.1517 	EXP 	New trial (rep=0, index=5): {'reward_today': 49, 'future_reward': 60, 'delay': 89}
27.1664 	EXP 	fixation: autoDraw = False
27.1664 	EXP 	text: autoDraw = False
27.1664 	EXP 	text: height = 0.05
27.1664 	EXP 	text: height = 0.05
27.1664 	EXP 	text: height = 0.05
27.1664 	EXP 	text: text = 'GBP 49 today or GBP 60 after 89 days'
27.1664 	EXP 	fixation: autoDraw = True
28.1637 	EXP 	text: autoDraw = True
28.1803 	EXP 	fixation: autoDraw = False
31.1999 	EXP 	New trial (rep=0, index=6): {'reward_today': 27, 'future_reward': 50, 'delay': 21}
31.2131 	EXP 	fixation: autoDraw = False
31.2131 	EXP 	text: autoDraw = False
31.2131 	EXP 	text: height = 0.05
31.2131 	EXP 	text: height = 0.05
31.2131 	EXP 	text: height = 0.05
31.2131 	EXP 	text: text = 'GBP 27 today or GBP 50 after 21 days'
31.2131 	EXP 	fixation: autoDraw = True
32.2137 	EXP 	fixation: autoDraw = False
32.2137 	EXP 	text: autoDraw = True
