key_resp.corr,key_resp.keys,tilt,Desc ,Variables,hit,miss ,false alarm ,correct rejection 
1,down,4,signal,miss,,1,,
0,up,-5,noise,correct rejection,,,,1
0,up,2,signal,miss,,,,
1,up,0,signal,hit,,,,
1,up,0,signal,hit,,,,
1,up,0,signal,hit,,,,
0,up,0,signal,miss,,,,
0,up,-1,noise,correct rejection,,,,
0,up,2,signal,miss,,,,
0,up,1,signal,miss,,,,
1,down,-5,noise,miss,,,,
1,up,0,signal,hit,,,,
1,up,0,signal,hit,,,,
1,down,-3,noise,miss,,,,
1,up,0,signal,hit,,,,
0,up,2,signal,miss,,,,
0,up,-1,noise,correct rejection,,,,
1,down,-1,noise,miss,,,,
1,up,0,signal,hit,,,,
0,up,-5,noise,correct rejection,,,,
0,up,-2,noise,correct rejection,,,,
1,down,2,signal,miss,,,,
1,down,4,signal,miss,,,,
0,down,0,signal,miss,,,,
0,down,0,signal,miss,,,,
0,up,-1,noise,correct rejection,,,,
1,up,0,signal,hit,,,,
1,up,0,signal,hit,,,,
0,up,-1,noise,correct rejection,,,,
1,up,0,signal,hit,,,,
1,up,0,signal,hit,,,,
1,down,4,signal,miss,,,,
1,down,-3,noise,miss,,,,
0,down,0,signal,miss,,,,
1,down,2,signal,miss,,,,
1,up,0,signal,hit,,,,
0,up,-4,noise,correct rejection,,,,
0,up,-4,noise,correct rejection,,,,
1,up,0,signal,hit,,,,
1,up,0,signal,hit,,,,
1,down,-3,noise,miss,,,,
1,down,1,signal,miss,,,,
0,up,-4,noise,correct rejection,,,,
1,down,3,signal,miss,,,,
0,up,-2,noise,correct rejection,,,,
1,up,0,signal,hit,,,,
0,up,-4,noise,correct rejection,,,,
1,up,0,signal,hit,,,,
1,up,0,signal,hit,,,,
0,up,-3,noise,correct rejection,,,,
0,up,-5,noise,correct rejection,,,,
0,down,0,signal,miss,,,,
1,up,0,signal,hit,,,,
0,up,-2,noise,correct rejection,,,,
1,up,0,signal,hit,,,,
1,up,0,signal,hit,,,,
0,up,-5,noise,correct rejection,,,,
0,down,0,signal,miss,,,,
1,up,0,signal,hit,,,,
0,up,-5,noise,correct rejection,,,,
0,down,0,signal,miss,,,,
